station,metar,datetime_scraped
SPJC,SPJC 120700Z 18008KT 8000 SCT006 BKN015 17/15 Q1013 TEMPO OVC009 RMK PP000=,2025-05-12 07:23:44.180310
SPRU,SPRU 120700Z 12004KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 07:23:44.180310
SPZO,SPZO 120700Z 09002KT 9999 SCT100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 07:23:44.180310
SPQU,SPQU 120700Z VRB02KT CAVOK 14/M01 Q1028 RMK PP000=,2025-05-12 07:53:45.058924
SPJC,SPJC 120700Z 18008KT 8000 SCT006 BKN015 17/15 Q1013 TEMPO OVC009 RMK PP000=,2025-05-12 07:53:45.058924
SPRU,SPRU 120700Z 12004KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 07:53:45.058924
SPZO,SPZO 120700Z 09002KT 9999 SCT100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 07:53:45.058924
SPQU,SPQU 120800Z 02004KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 08:23:46.029210
SPJC,SPJC 120800Z 16006KT 8000 SCT006 BKN013 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 08:23:46.029210
SPRU,SPRU 120800Z 12005KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 08:23:46.029210
SPZO,SPZO 120800Z 11002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 08:23:46.029210
SPQU,SPQU 120800Z 02004KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 08:53:46.920522
SPJC,SPJC 120800Z 16006KT 8000 SCT006 BKN013 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 08:53:46.920522
SPRU,SPRU 120800Z 12005KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 08:53:46.920522
SPZO,SPZO 120800Z 11002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 08:53:46.920522
SPQU,SPQU 120900Z 36006KT CAVOK 15/M01 Q1027 RMK PP000=,2025-05-12 09:23:41.990107
SPJC,SPJC 120900Z 20005KT 8000 OVC010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 09:23:41.990107
SPRU,SPRU 120900Z 14007KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 09:23:41.990107
SPZO,SPZO 120900Z 09002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 09:23:41.990107
SPQU,SPQU 120900Z 36006KT CAVOK 15/M01 Q1027 RMK PP000=,2025-05-12 09:53:42.898635
SPJC,SPJC 120900Z 20005KT 8000 OVC010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 09:53:42.898635
SPRU,SPRU 120900Z 14007KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 09:53:42.898635
SPZO,SPZO 120900Z 09002KT 9999 SCT050 BKN100 08/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 09:53:42.898635
SPQU,SPQU 121000Z 03005KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 10:23:43.787482
SPJC,SPJC 121000Z 20004KT 9999 BKN010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 10:23:43.787482
SPRU,SPRU 121000Z 14010KT 6000 NSC 17/16 Q1012 RMK PP000=,2025-05-12 10:23:43.787482
SPZO,SPZO 121000Z 07004KT 9999 SCT050 BKN100 07/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 10:23:43.787482
SPQU,SPQU 121000Z 03005KT CAVOK 14/M01 Q1027 RMK PP000=,2025-05-12 10:53:44.713633
SPJC,SPJC 121000Z 20004KT 9999 BKN010 18/15 Q1012 NOSIG RMK PP000=,2025-05-12 10:53:44.713633
SPRU,SPRU 121000Z 14010KT 6000 NSC 17/16 Q1012 RMK PP000=,2025-05-12 10:53:44.713633
SPZO,SPZO 121000Z 07004KT 9999 SCT050 BKN100 07/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 10:53:44.713633
SPZO,SPZO 121030Z 08002KT 9999 SCT050 BKN100 07/04 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 10:53:44.713633
SPQU,SPQU 121100Z 06010KT 9999 FEW110 13/M00 Q1028 RMK PP000=,2025-05-12 11:23:45.631581
SPJC,SPJC 121100Z 24004KT 9999 OVC012 17/15 Q1013 TEMPO BKN007 RMK PP000=,2025-05-12 11:23:45.631581
SPRU,SPRU 121100Z 12006KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 11:23:45.631581
SPZO,SPZO 121100Z VRB02KT 9999 SCT050 BKN100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 11:23:45.631581
SPQU,SPQU 121100Z 06010KT 9999 FEW110 13/M00 Q1028 RMK PP000=,2025-05-12 11:53:46.524808
SPJC,SPJC 121100Z 24004KT 9999 OVC012 17/15 Q1013 TEMPO BKN007 RMK PP000=,2025-05-12 11:53:46.524808
SPRU,SPRU 121100Z 12006KT 5000 BR NSC 17/16 Q1012 RMK PP000=,2025-05-12 11:53:46.524808
SPZO,SPZO 121100Z VRB02KT 9999 SCT050 BKN100 08/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-12 11:53:46.524808
SPZO,SPZO 121130Z 09002KT 9999 SCT050 BKN100 07/04 Q1036 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-12 11:53:46.524808
SPQU,SPQU 140300Z 02003KT 330V080 CAVOK 15/01 Q1027 NOSIG RMK PP000=,2025-05-14 03:20:44.126211
SPJC,SPJC 140300Z 17009KT 8000 BKN008 18/15 Q1012 NOSIG RMK PP000=,2025-05-14 03:20:44.126211
SPRU,SPRU 140300Z 15004KT 3000 BR NSC 18/16 Q1012 RMK PP000=,2025-05-14 03:20:44.126211
SPZO,SPZO 140300Z 00000KT 9999 NSC 08/M01 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 03:20:44.126211
SPQU,SPQU 140300Z 02003KT 330V080 CAVOK 15/01 Q1027 NOSIG RMK PP000=,2025-05-14 03:50:45.015404
SPJC,SPJC 140300Z 17009KT 8000 BKN008 18/15 Q1012 NOSIG RMK PP000=,2025-05-14 03:50:45.015404
SPRU,SPRU 140300Z 15004KT 3000 BR NSC 18/16 Q1012 RMK PP000=,2025-05-14 03:50:45.015404
SPZO,SPZO 140300Z 00000KT 9999 NSC 08/M01 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 03:50:45.015404
SPZO,SPZO 140330Z VRB02KT 9999 FEW080 09/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 03:50:45.015404
SPQU,SPQU 140400Z VRB02KT CAVOK 14/00 Q1026 RMK PP000=,2025-05-14 04:20:45.895632
SPJC,SPJC 140400Z 16011KT 8000 OVC008 17/15 Q1012 NOSIG RMK PP000=,2025-05-14 04:20:45.895632
SPRU,SPRU 140400Z 15004KT 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 04:20:45.895632
SPZO,SPZO 140400Z VRB01KT 9999 FEW080 08/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 04:20:45.895632
SPQU,SPQU 140400Z VRB02KT CAVOK 14/00 Q1026 RMK PP000=,2025-05-14 04:50:46.842856
SPJC,SPJC 140400Z 16011KT 8000 OVC008 17/15 Q1012 NOSIG RMK PP000=,2025-05-14 04:50:46.842856
SPRU,SPRU 140400Z 15004KT 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 04:50:46.842856
SPZO,SPZO 140400Z VRB01KT 9999 FEW080 08/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 04:50:46.842856
SPZO,SPZO 140430Z 09002KT 9999 FEW080 08/M01 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 04:50:46.842856
SPQU,SPQU 140500Z 04004KT CAVOK 14/M01 Q1026 RMK PP000=,2025-05-14 05:56:59.181051
SPRU,SPRU 140500Z 14003KT 110V170 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 05:56:59.181051
SPZO,SPZO 140500Z 07003KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 05:56:59.181051
SPZO,SPZO 140530Z 06002KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 05:56:59.181051
SPQU,SPQU 140500Z 04004KT CAVOK 14/M01 Q1026 RMK PP000=,2025-05-14 05:58:09.898862
SPRU,SPRU 140500Z 14003KT 110V170 5000 BR NSC 18/16 Q1013 RMK PP000=,2025-05-14 05:58:09.898862
SPZO,SPZO 140500Z 07003KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 05:58:09.898862
SPZO,SPZO 140530Z 06002KT 9999 FEW080 07/M00 Q1033 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 05:58:09.898862
SPQU,SPQU 140600Z 01004KT CAVOK 15/M00 Q1025 RMK PP000=,2025-05-14 06:28:10.796249
SPRU,SPRU 140600Z 12006KT 4000 BR NSC 18/16 Q1014 RMK PP000=,2025-05-14 06:28:10.796249
SPZO,SPZO 140600Z 09001KT 9999 NSC 06/M00 Q1033 NOSIG RMK PP000=,2025-05-14 06:28:10.796249
SPQU,SPQU 140600Z 01004KT CAVOK 15/M00 Q1025 RMK PP000=,2025-05-14 06:34:13.350574
SPRU,SPRU 140600Z 12006KT 4000 BR NSC 18/16 Q1014 RMK PP000=,2025-05-14 06:34:13.350574
SPZO,SPZO 140600Z 09001KT 9999 NSC 06/M00 Q1033 NOSIG RMK PP000=,2025-05-14 06:34:13.350574
SPQU,SPQU 140600Z 01004KT CAVOK 15/M00 Q1025 RMK PP000=,2025-05-14 06:37:07.092737
SPRU,SPRU 140600Z 12006KT 4000 BR NSC 18/16 Q1014 RMK PP000=,2025-05-14 06:37:07.092737
SPZO,SPZO 140600Z 09001KT 9999 NSC 06/M00 Q1033 NOSIG RMK PP000=,2025-05-14 06:37:07.092737
SPQU,SPQU 140700Z 03004KT CAVOK 13/M00 Q1024 RMK PP000=,2025-05-14 07:37:16.110813
SPRU,SPRU 140700Z 12004KT 4000 BR SCT012 17/16 Q1013 RMK PP000=,2025-05-14 07:37:16.110813
SPZO,SPZO 140700Z 30002KT 9999 NSC 05/00 Q1033 NOSIG RMK PP000=,2025-05-14 07:37:16.110813
SPQU,SPQU 140800Z 03004KT CAVOK 13/M00 Q1024 RMK PP000=,2025-05-14 08:37:24.987988
SPRU,SPRU 140800Z 11004KT 3000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-14 08:37:24.987988
SPZO,SPZO 140800Z 10002KT 9999 NSC 05/00 Q1033 NOSIG RMK PP000=,2025-05-14 08:37:24.987988
SPQU,SPQU 140900Z 01005KT CAVOK 14/M01 Q1024 RMK PP000=,2025-05-14 09:37:33.844507
SPRU,SPRU 140900Z 12003KT 3000 BR NSC 17/16 Q1013 RMK PP000=,2025-05-14 09:37:33.844507
SPZO,SPZO 140900Z 11002KT 9999 FEW043 04/00 Q1033 NOSIG RMK PP000=,2025-05-14 09:37:33.844507
SPQU,SPQU 141000Z 04004KT 010V090 CAVOK 11/M01 Q1024 RMK PP000=,2025-05-14 10:37:42.666133
SPRU,SPRU 141000Z 14003KT 3000 BR NSC 18/16 Q1012 RMK PP000=,2025-05-14 10:37:42.666133
SPZO,SPZO 141000Z VRB01KT 9999 FEW043 03/M01 Q1033 NOSIG RMK PP000=,2025-05-14 10:37:42.666133
SPZO,SPZO 141030Z 00000KT 9999 FEW043 SCT080 03/00 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 10:37:42.666133
SPQU,SPQU 141100Z 36005KT CAVOK 13/M01 Q1025 RMK PP000=,2025-05-14 11:37:51.462653
SPRU,SPRU 141100Z 17003KT 1600 BR NSC 17/16 Q1013 RMK PP000=,2025-05-14 11:37:51.462653
SPZO,SPZO 141100Z VRB01KT 9999 FEW043 SCT080 04/00 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 11:37:51.462653
SPZO,SPZO 141130Z 11003KT 070V130 9999 FEW043 SCT080 04/M00 Q1034 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 11:37:51.462653
SPQU,SPQU 141200Z 05006KT CAVOK 15/M00 Q1025 NOSIG RMK TN 10.3 PP000=,2025-05-14 12:38:00.355614
SPRU,SPRU 141200Z 15003KT 2000 BR NSC 17/16 Q1013 RMK TN17.4 PP000=,2025-05-14 12:38:00.355614
SPZO,SPZO 141200Z 08002KT 9999 FEW043 SCT080 05/01 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 TN2.6 PP000=,2025-05-14 12:38:00.355614
SPZO,SPZO 141230Z VRB02KT 9999 FEW050 08/00 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 12:38:00.355614
SPQU,SPQU 141300Z VRB02KT CAVOK 19/M00 Q1026 NOSIG RMK PP000=,2025-05-14 13:38:09.236830
SPRU,SPRU 141300Z 15006KT 4000 BR BKN040 18/16 Q1014 RMK PP000=,2025-05-14 13:38:09.236830
SPZO,SPZO 141300Z VRB01KT 9999 NSC 10/01 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 13:38:09.236830
SPZO,SPZO 141330Z VRB02KT 9999 NSC 12/01 Q1035 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 13:38:09.236830
SPQU,SPQU 141900Z 24009KT 210V300 CAVOK 21/01 Q1025 NOSIG RMK PP000=,2025-05-14 19:57:15.284903
SPRU,SPRU 141900Z 16010KT 8000 FEW060 20/16 Q1012 RMK PP000=,2025-05-14 19:57:15.284903
SPRU,SPRU 142000Z 16009KT 8000 NSC 21/16 Q1011 RMK PP000=,2025-05-14 19:57:15.284903
SPZO,SPZO 141900Z 30007KT 250V350 9999 FEW060 22/M01 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 19:57:15.284903
SPZO,SPZO 141930Z 29005KT 200V340 9999 FEW060 22/M02 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 19:57:15.284903
SPQU,SPQU 142000Z 26009KT 200V290 CAVOK 20/01 Q1025 NOSIG RMK PP000=,2025-05-14 20:57:25.059018
SPRU,SPRU 142000Z 16009KT 8000 NSC 21/16 Q1011 RMK PP000=,2025-05-14 20:57:25.059018
SPRU,SPRU 142100Z 16010KT 8000 NSC 20/16 Q1010 RMK PP000=,2025-05-14 20:57:25.059018
SPZO,SPZO 142000Z 03003KT 280V090 9999 FEW060 21/M02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 20:57:25.059018
SPZO,SPZO 142030Z VRB02KT 9999 FEW060 21/M01 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 20:57:25.059018
SPQU,SPQU 142100Z 25007KT 210V290 CAVOK 19/04 Q1025 NOSIG RMK PP000=,2025-05-14 21:57:33.881736
SPRU,SPRU 142100Z 16010KT 8000 NSC 20/16 Q1010 RMK PP000=,2025-05-14 21:57:33.881736
SPRU,SPRU 142200Z 16009KT 7000 NSC 19/16 Q1011 RMK TX20.3 PP000=,2025-05-14 21:57:33.881736
SPZO,SPZO 142100Z VRB03KT 9999 FEW060 22/M00 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 21:57:33.881736
SPZO,SPZO 142130Z 04005KT 320V100 9999 FEW060 20/02 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 21:57:33.881736
SPQU,SPQU 142200Z 28006KT CAVOK 16/06 Q1026 NOSIG RMK TX 22.6 PP000=,2025-05-14 22:57:42.741076
SPRU,SPRU 142200Z 16009KT 7000 NSC 19/16 Q1011 RMK TX20.3 PP000=,2025-05-14 22:57:42.741076
SPRU,SPRU 142300Z 15009KT 6000 FEW150 19/16 Q1011 RMK PP000=,2025-05-14 22:57:42.741076
SPZO,SPZO 142200Z 35007KT 330V030 9999 FEW060 18/03 Q1028 NOSIG RMK BIRD HAZARD RWY 10/28 TX22.6 PP000=,2025-05-14 22:57:42.741076
SPZO,SPZO 142230Z 07004KT 360V140 9999 NSC 17/03 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 22:57:42.741076
SPQU,SPQU 142300Z 27006KT CAVOK 14/06 Q1027 NOSIG RMK PP000=,2025-05-14 23:57:51.802318
SPRU,SPRU 142300Z 15009KT 6000 FEW150 19/16 Q1011 RMK PP000=,2025-05-14 23:57:51.802318
SPRU,SPRU 150000Z 14007KT 4000 BR FEW150 18/17 Q1011 RMK PP000=,2025-05-14 23:57:51.802318
SPZO,SPZO 142300Z 11006KT 060V140 9999 NSC 15/03 Q1029 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-14 23:57:51.802318
SPZO,SPZO 142330Z 06005KT 030V130 9999 NSC 15/03 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-14 23:57:51.802318
SPQU,SPQU 150000Z 00000KT CAVOK 13/06 Q1027 NOSIG RMK PP000=,2025-05-15 00:58:00.861792
SPRU,SPRU 150000Z 14007KT 4000 BR FEW150 18/17 Q1011 RMK PP000=,2025-05-15 00:58:00.861792
SPZO,SPZO 150000Z 07004KT 010V120 9999 NSC 13/04 Q1030 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 00:58:00.861792
SPZO,SPZO 150030Z 09003KT 050V120 9999 NSC 12/04 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-15 00:58:00.861792
SPQU,SPQU 150100Z 09004KT CAVOK 12/06 Q1027 NOSIG RMK PP000=,2025-05-15 01:58:09.829939
SPQU,SPQU 150200Z 09005KT CAVOK 12/05 Q1027 NOSIG RMK PP000=,2025-05-15 01:58:09.829939
SPRU,SPRU 150100Z 14007KT 4300 BR NSC 19/16 Q1012 RMK PP000=,2025-05-15 01:58:09.829939
SPRU,SPRU 150200Z 16007KT 4100 BR NSC 18/16 Q1012 RMK PP000=,2025-05-15 01:58:09.829939
SPZO,SPZO 150100Z VRB02KT 9999 NSC 11/04 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 01:58:09.829939
SPZO,SPZO 150130Z VRB01KT 9999 NSC 11/04 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-15 01:58:09.829939
SPZO,SPZO 150200Z VRB01KT 9999 NSC 09/04 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 01:58:09.829939
SPQU,SPQU 150100Z 09004KT CAVOK 12/06 Q1027 NOSIG RMK PP000=,2025-05-15 02:01:04.711504
SPQU,SPQU 150200Z 09005KT CAVOK 12/05 Q1027 NOSIG RMK PP000=,2025-05-15 02:01:04.711504
SPRU,SPRU 150100Z 14007KT 4300 BR NSC 19/16 Q1012 RMK PP000=,2025-05-15 02:01:04.711504
SPRU,SPRU 150200Z 16007KT 4100 BR NSC 18/16 Q1012 RMK PP000=,2025-05-15 02:01:04.711504
SPZO,SPZO 150100Z VRB02KT 9999 NSC 11/04 Q1031 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 02:01:04.711504
SPZO,SPZO 150130Z VRB01KT 9999 NSC 11/04 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28=,2025-05-15 02:01:04.711504
SPZO,SPZO 150200Z VRB01KT 9999 NSC 09/04 Q1032 NOSIG RMK BIRD HAZARD RWY 10/28 PP000=,2025-05-15 02:01:04.711504
