station,datetime,wind_dir,wind_speed,visibility,clouds,phenomena,intensity_prefix
SPZO,2025-05-12 08:53:46.920522,110,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 09:23:41.990107,360,6,,,,
SPJC,2025-05-12 09:23:41.990107,200,5,8000.0,OVC010,,
SPRU,2025-05-12 09:23:41.990107,140,7,5000.0,,BR,
SPZO,2025-05-12 09:23:41.990107,090,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 09:53:42.898635,360,6,,,,
SPJC,2025-05-12 09:53:42.898635,200,5,8000.0,OVC010,,
SPRU,2025-05-12 09:53:42.898635,140,7,5000.0,,BR,
SPZO,2025-05-12 09:53:42.898635,090,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 10:23:43.787482,030,5,,,,
SPJC,2025-05-12 10:23:43.787482,200,4,9999.0,BKN010,,
SPRU,2025-05-12 10:23:43.787482,140,10,6000.0,,,
SPZO,2025-05-12 10:23:43.787482,070,4,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 10:53:44.713633,030,5,,,,
SPJC,2025-05-12 10:53:44.713633,200,4,9999.0,BKN010,,
SPRU,2025-05-12 10:53:44.713633,140,10,6000.0,,,
SPZO,2025-05-12 10:53:44.713633,070,4,9999.0,SCT050;BKN100,,
SPZO,2025-05-12 10:53:44.713633,080,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 11:23:45.631581,060,10,9999.0,FEW110,,
SPJC,2025-05-12 11:23:45.631581,240,4,9999.0,OVC012;BKN007,,
SPRU,2025-05-12 11:23:45.631581,120,6,5000.0,,BR,
SPZO,2025-05-12 11:23:45.631581,VRB,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-12 11:53:46.524808,060,10,9999.0,FEW110,,
SPJC,2025-05-12 11:53:46.524808,240,4,9999.0,OVC012;BKN007,,
SPRU,2025-05-12 11:53:46.524808,120,6,5000.0,,BR,
SPZO,2025-05-12 11:53:46.524808,VRB,2,9999.0,SCT050;BKN100,,
SPZO,2025-05-12 11:53:46.524808,090,2,9999.0,SCT050;BKN100,,
SPQU,2025-05-14 03:20:44.126211,020,3,,,,
SPJC,2025-05-14 03:20:44.126211,170,9,8000.0,BKN008,,
SPRU,2025-05-14 03:20:44.126211,150,4,3000.0,,BR,
SPZO,2025-05-14 03:20:44.126211,000,0,9999.0,,,
SPQU,2025-05-14 03:50:45.015404,020,3,,,,
SPJC,2025-05-14 03:50:45.015404,170,9,8000.0,BKN008,,
SPRU,2025-05-14 03:50:45.015404,150,4,3000.0,,BR,
SPZO,2025-05-14 03:50:45.015404,000,0,9999.0,,,
SPZO,2025-05-14 03:50:45.015404,VRB,2,9999.0,FEW080,,
SPQU,2025-05-14 04:20:45.895632,VRB,2,,,,
SPJC,2025-05-14 04:20:45.895632,160,11,8000.0,OVC008,,
SPRU,2025-05-14 04:20:45.895632,150,4,5000.0,,BR,
SPZO,2025-05-14 04:20:45.895632,VRB,1,9999.0,FEW080,,
SPQU,2025-05-14 04:50:46.842856,VRB,2,,,,
SPJC,2025-05-14 04:50:46.842856,160,11,8000.0,OVC008,,
SPRU,2025-05-14 04:50:46.842856,150,4,5000.0,,BR,
SPZO,2025-05-14 04:50:46.842856,VRB,1,9999.0,FEW080,,
SPZO,2025-05-14 04:50:46.842856,090,2,9999.0,FEW080,,
SPQU,2025-05-14 05:56:59.181051,040,4,,,,
SPRU,2025-05-14 05:56:59.181051,140,3,5000.0,,BR,
SPZO,2025-05-14 05:56:59.181051,070,3,9999.0,FEW080,,
SPZO,2025-05-14 05:56:59.181051,060,2,9999.0,FEW080,,
SPQU,2025-05-14 05:58:09.898862,040,4,,,,
SPRU,2025-05-14 05:58:09.898862,140,3,5000.0,,BR,
SPZO,2025-05-14 05:58:09.898862,070,3,9999.0,FEW080,,
SPZO,2025-05-14 05:58:09.898862,060,2,9999.0,FEW080,,
SPQU,2025-05-14 06:28:10.796249,010,4,,,,
SPRU,2025-05-14 06:28:10.796249,120,6,4000.0,,BR,
SPZO,2025-05-14 06:28:10.796249,090,1,9999.0,,,
SPQU,2025-05-14 06:34:13.350574,010,4,,,,
SPRU,2025-05-14 06:34:13.350574,120,6,4000.0,,BR,
SPZO,2025-05-14 06:34:13.350574,090,1,9999.0,,,
SPQU,2025-05-14 06:37:07.092737,010,4,,,,
SPRU,2025-05-14 06:37:07.092737,120,6,4000.0,,BR,
SPZO,2025-05-14 06:37:07.092737,090,1,9999.0,,,
SPQU,2025-05-14 07:37:16.110813,030,4,,,,
SPRU,2025-05-14 07:37:16.110813,120,4,4000.0,SCT012,BR,
SPZO,2025-05-14 07:37:16.110813,300,2,9999.0,,,
SPQU,2025-05-14 08:37:24.987988,030,4,,,,
SPRU,2025-05-14 08:37:24.987988,110,4,3000.0,,BR,
SPZO,2025-05-14 08:37:24.987988,100,2,9999.0,,,
SPQU,2025-05-14 09:37:33.844507,010,5,,,,
SPRU,2025-05-14 09:37:33.844507,120,3,3000.0,,BR,
SPZO,2025-05-14 09:37:33.844507,110,2,9999.0,FEW043,,
SPQU,2025-05-14 10:37:42.666133,040,4,,,,
SPRU,2025-05-14 10:37:42.666133,140,3,3000.0,,BR,
SPZO,2025-05-14 10:37:42.666133,VRB,1,9999.0,FEW043,,
SPZO,2025-05-14 10:37:42.666133,000,0,9999.0,FEW043;SCT080,,
SPQU,2025-05-14 11:37:51.462653,360,5,,,,
SPRU,2025-05-14 11:37:51.462653,170,3,1600.0,,BR,
SPZO,2025-05-14 11:37:51.462653,VRB,1,9999.0,FEW043;SCT080,,
SPZO,2025-05-14 11:37:51.462653,110,3,9999.0,FEW043;SCT080,,
SPQU,2025-05-14 12:38:00.355614,050,6,,,,
SPRU,2025-05-14 12:38:00.355614,150,3,2000.0,,BR,
SPZO,2025-05-14 12:38:00.355614,080,2,9999.0,FEW043;SCT080,,
SPZO,2025-05-14 12:38:00.355614,VRB,2,9999.0,FEW050,,
SPQU,2025-05-14 13:38:09.236830,VRB,2,,,,
SPRU,2025-05-14 13:38:09.236830,150,6,4000.0,BKN040,BR,
SPZO,2025-05-14 13:38:09.236830,VRB,1,9999.0,,,
SPZO,2025-05-14 13:38:09.236830,VRB,2,9999.0,,,
SPQU,2025-05-14 19:57:15.284903,240,9,,,,
SPRU,2025-05-14 19:57:15.284903,160,10,8000.0,FEW060,,
SPRU,2025-05-14 19:57:15.284903,160,9,8000.0,,,
SPZO,2025-05-14 19:57:15.284903,300,7,9999.0,FEW060,,
SPZO,2025-05-14 19:57:15.284903,290,5,9999.0,FEW060,,
SPQU,2025-05-14 20:57:25.059018,260,9,,,,
SPRU,2025-05-14 20:57:25.059018,160,9,8000.0,,,
SPRU,2025-05-14 20:57:25.059018,160,10,8000.0,,,
SPZO,2025-05-14 20:57:25.059018,030,3,9999.0,FEW060,,
SPZO,2025-05-14 20:57:25.059018,VRB,2,9999.0,FEW060,,
SPQU,2025-05-14 21:57:33.881736,250,7,,,,
SPRU,2025-05-14 21:57:33.881736,160,10,8000.0,,,
SPRU,2025-05-14 21:57:33.881736,160,9,7000.0,,,
SPZO,2025-05-14 21:57:33.881736,VRB,3,9999.0,FEW060,,
SPZO,2025-05-14 21:57:33.881736,040,5,9999.0,FEW060,,
SPQU,2025-05-14 22:57:42.741076,280,6,,,,
SPRU,2025-05-14 22:57:42.741076,160,9,7000.0,,,
SPRU,2025-05-14 22:57:42.741076,150,9,6000.0,FEW150,,
SPZO,2025-05-14 22:57:42.741076,350,7,9999.0,FEW060,,
SPZO,2025-05-14 22:57:42.741076,070,4,9999.0,,,
SPQU,2025-05-14 23:57:51.802318,270,6,,,,
SPRU,2025-05-14 23:57:51.802318,150,9,6000.0,FEW150,,
SPRU,2025-05-14 23:57:51.802318,140,7,4000.0,FEW150,BR,
SPZO,2025-05-14 23:57:51.802318,110,6,9999.0,,,
SPZO,2025-05-14 23:57:51.802318,060,5,9999.0,,,
SPQU,2025-05-15 00:58:00.861792,000,0,,,,
SPRU,2025-05-15 00:58:00.861792,140,7,4000.0,FEW150,BR,
SPZO,2025-05-15 00:58:00.861792,070,4,9999.0,,,
SPZO,2025-05-15 00:58:00.861792,090,3,9999.0,,,
SPQU,2025-05-15 01:58:09.829939,090,4,,,,
SPQU,2025-05-15 01:58:09.829939,090,5,,,,
SPRU,2025-05-15 01:58:09.829939,140,7,4300.0,,BR,
SPRU,2025-05-15 01:58:09.829939,160,7,4100.0,,BR,
SPZO,2025-05-15 01:58:09.829939,VRB,2,9999.0,,,
SPZO,2025-05-15 01:58:09.829939,VRB,1,9999.0,,,
SPZO,2025-05-15 01:58:09.829939,VRB,1,9999.0,,,
SPQU,2025-05-15 02:01:04.711504,090,4,,,,
SPQU,2025-05-15 02:01:04.711504,090,5,,,,
SPRU,2025-05-15 02:01:04.711504,140,7,4300.0,,BR,
SPRU,2025-05-15 02:01:04.711504,160,7,4100.0,,BR,
SPZO,2025-05-15 02:01:04.711504,VRB,2,9999.0,,,
SPZO,2025-05-15 02:01:04.711504,VRB,1,9999.0,,,
SPZO,2025-05-15 02:01:04.711504,VRB,1,9999.0,,,
SPQU,2025-05-15 03:01:14.137762,090,5,,,,
SPQU,2025-05-15 03:01:14.137762,010,3,,,,
SPRU,2025-05-15 03:01:14.137762,160,7,4100.0,,BR,
SPRU,2025-05-15 03:01:14.137762,150,5,3800.0,,BR,
SPZO,2025-05-15 03:01:14.137762,VRB,1,9999.0,,,
SPZO,2025-05-15 03:01:14.137762,290,5,9999.0,,,
SPZO,2025-05-15 03:01:14.137762,250,3,9999.0,,,
SPQU,2025-05-15 04:01:24.125606,010,3,,,,
SPQU,2025-05-15 04:01:24.125606,360,3,,,,
SPRU,2025-05-15 04:01:24.125606,150,5,3800.0,,BR,
SPRU,2025-05-15 04:01:24.125606,140,6,4000.0,,BR,
SPZO,2025-05-15 04:01:24.125606,250,3,9999.0,,,
SPZO,2025-05-15 04:01:24.125606,280,2,9999.0,,,
SPZO,2025-05-15 04:01:24.125606,VRB,2,9999.0,,,
SPQU,2025-05-15 05:01:34.158624,360,3,,,,
SPQU,2025-05-15 05:01:34.158624,VRB,2,,,,
SPRU,2025-05-15 05:01:34.158624,140,6,4000.0,,BR,
SPRU,2025-05-15 05:01:34.158624,150,7,4100.0,,BR,
SPZO,2025-05-15 05:01:34.158624,VRB,2,9999.0,,,
SPZO,2025-05-15 05:01:34.158624,280,2,9999.0,,,
SPZO,2025-05-15 05:01:34.158624,090,3,9999.0,,,
SPQU,2025-05-15 06:01:43.211709,VRB,2,,,,
SPQU,2025-05-15 06:01:43.211709,VRB,2,,,,
SPRU,2025-05-15 06:01:43.211709,150,7,4100.0,,BR,
SPRU,2025-05-15 06:01:43.211709,150,6,3500.0,,BR,
SPZO,2025-05-15 06:01:43.211709,090,3,9999.0,,,
SPZO,2025-05-15 06:01:43.211709,000,0,9999.0,,,
SPZO,2025-05-15 06:01:43.211709,VRB,2,9999.0,,,
SPQU,2025-05-15 07:01:52.374764,VRB,2,,,,
SPQU,2025-05-15 07:01:52.374764,290,2,,,,
SPRU,2025-05-15 07:01:52.374764,150,6,3500.0,,BR,
SPRU,2025-05-15 07:01:52.374764,140,5,3500.0,,BR,
SPZO,2025-05-15 07:01:52.374764,VRB,2,9999.0,,,
SPZO,2025-05-15 07:01:52.374764,280,2,9999.0,,,
SPQU,2025-05-15 08:02:03.297545,290,2,,,,
SPQU,2025-05-15 08:02:03.297545,340,4,,,,
SPRU,2025-05-15 08:02:03.297545,140,5,3500.0,,BR,
SPRU,2025-05-15 08:02:03.297545,140,5,3100.0,,BR,
SPZO,2025-05-15 08:02:03.297545,280,2,9999.0,,,
SPZO,2025-05-15 08:02:03.297545,100,1,9999.0,,,
SPQU,2025-05-15 09:02:20.323253,340,4,,,,
SPQU,2025-05-15 09:02:20.323253,040,3,,,,
SPRU,2025-05-15 09:02:20.323253,140,5,3100.0,,BR,
SPRU,2025-05-15 09:02:20.323253,170,3,1700.0,,BR,
SPZO,2025-05-15 09:02:20.323253,100,1,9999.0,,,
SPZO,2025-05-15 09:02:20.323253,000,0,9999.0,,,
SPQU,2025-05-15 10:02:29.471839,040,3,,,,
SPQU,2025-05-15 10:02:29.471839,360,4,,,,
SPRU,2025-05-15 10:02:29.471839,170,3,1700.0,,BR,
SPRU,2025-05-15 10:02:29.471839,160,4,1800.0,,BR,
SPZO,2025-05-15 10:02:29.471839,000,0,9999.0,,,
SPZO,2025-05-15 10:02:29.471839,000,0,9999.0,,,
SPQU,2025-05-15 11:02:41.027500,350,6,,,,
SPRU,2025-05-15 11:02:41.027500,120,2,1600.0,SCT002,BR,
SPZO,2025-05-15 11:02:41.027500,070,3,9999.0,,,
SPQU,2025-05-15 12:02:50.479908,010,3,,,,
SPRU,2025-05-15 12:02:50.479908,160,4,3000.0,,BR,
SPZO,2025-05-15 12:02:50.479908,VRB,1,9999.0,FEW040;BKN080,,
SPQU,2025-05-15 13:02:59.440740,300,3,,,,
SPRU,2025-05-15 13:02:59.440740,120,4,3000.0,,BR,
SPZO,2025-05-15 13:02:59.440740,VRB,1,9999.0,FEW030;BKN040;OVC070;FEW040;SCT080,,
SPQU,2025-05-15 14:03:09.706878,230,5,,,,
SPRU,2025-05-15 14:03:09.706878,160,4,3000.0,,BR,
SPZO,2025-05-15 14:03:09.706878,VRB,2,9999.0,FEW030;BKN040;OVC070,,
SPQU,2025-05-15 15:03:18.685390,270,7,,,,
SPRU,2025-05-15 15:03:18.685390,190,7,7000.0,,,
SPZO,2025-05-15 15:03:18.685390,VRB,3,9999.0,SCT040;BKN080,,
SPQU,2025-05-15 16:03:27.610968,250,8,,,,
SPRU,2025-05-15 16:03:27.610968,190,7,9000.0,,FG,BC
SPZO,2025-05-15 16:03:27.610968,VRB,4,9999.0,FEW043,,
SPQU,2025-05-15 17:03:37.411342,260,9,,,,
SPRU,2025-05-15 17:03:37.411342,190,8,9000.0,,BR,
SPZO,2025-05-15 17:03:37.411342,030,5,9999.0,,,
SPQU,2025-05-15 18:03:48.008061,240,7,,,,
SPRU,2025-05-15 18:03:48.008061,190,9,9999.0,FEW015,,
SPZO,2025-05-15 18:03:48.008061,VRB,3,9999.0,,,
SPQU,2025-05-15 19:03:56.943371,270,9,,,,
SPRU,2025-05-15 19:03:56.943371,170,7,9999.0,FEW015,,
SPZO,2025-05-15 19:03:56.943371,VRB,6,9999.0,,,
SPQU,2025-05-15 20:04:06.134466,240,7,,,,
SPRU,2025-05-15 20:04:06.134466,170,8,9000.0,,,
SPZO,2025-05-15 20:04:06.134466,360,6,9999.0,,,
SPQU,2025-05-15 21:04:15.301557,260,8,,,,
SPRU,2025-05-15 21:04:15.301557,170,8,,,,
SPZO,2025-05-15 21:04:15.301557,VRB,8,9999.0,,,
SPQU,2025-05-15 22:04:24.454434,260,8,,,,
SPRU,2025-05-15 22:04:24.454434,150,9,9000.0,,,
SPZO,2025-05-15 22:04:24.454434,040,7,9999.0,,,
SPQU,2025-05-15 23:04:33.386968,270,4,,,,
SPRU,2025-05-15 23:04:33.386968,160,9,9999.0,SCT150,,
SPZO,2025-05-15 23:04:33.386968,270,8,9999.0,,,
SPQU,2025-05-16 00:04:42.662473,VRB,2,,,,
SPRU,2025-05-16 00:04:42.662473,150,6,9000.0,SCT150,,
SPZO,2025-05-16 00:04:42.662473,240,3,9999.0,,,
SPQU,2025-05-16 01:04:51.774236,VRB,2,,,,
SPRU,2025-05-16 01:04:51.774236,140,7,6000.0,BKN100,,
SPZO,2025-05-16 01:04:51.774236,VRB,2,9999.0,,,
SPQU,2025-05-16 02:05:01.175856,VRB,2,,,,
SPRU,2025-05-16 02:05:01.175856,130,8,5000.0,BKN100,BR,
SPZO,2025-05-16 02:05:01.175856,080,2,9999.0,,,
SPQU,2025-05-16 03:05:10.314886,040,5,,,,
SPRU,2025-05-16 03:05:10.314886,130,9,5000.0,BKN150,BR,
SPZO,2025-05-16 03:05:10.314886,270,3,9999.0,,,
SPQU,2025-05-16 04:05:19.542425,020,3,,,,
SPRU,2025-05-16 04:05:19.542425,130,8,5000.0,BKN120,BR,
SPZO,2025-05-16 04:05:19.542425,VRB,1,9999.0,,,
SPQU,2025-05-16 14:38:44.961254,180,3,,,,
SPRU,2025-05-16 14:38:44.961254,170,8,8000.0,,,
SPZO,2025-05-16 14:38:44.961254,VRB,3,9999.0,FEW040,,
SPZO,2025-05-16 14:38:44.961254,VRB,3,9999.0,,,
SPQU,2025-05-16 15:38:54.170438,250,4,,,,
SPRU,2025-05-16 15:38:54.170438,160,9,7000.0,,,
SPZO,2025-05-16 15:38:54.170438,VRB,3,9999.0,,,
SPZO,2025-05-16 15:38:54.170438,010,3,9999.0,,,
SPQU,2025-05-16 16:39:03.429944,240,7,,,,
SPRU,2025-05-16 16:39:03.429944,180,9,7000.0,,,
SPZO,2025-05-16 16:39:03.429944,VRB,3,9999.0,,,
SPZO,2025-05-16 16:39:03.429944,VRB,4,9999.0,,,
SPQU,2025-05-16 17:39:12.458285,250,8,,,,
SPRU,2025-05-16 17:39:12.458285,160,10,7000.0,SCT003,HZ,
SPZO,2025-05-16 17:39:12.458285,320,4,9999.0,,,
SPZO,2025-05-16 17:39:12.458285,VRB,5,9999.0,,,
SPQU,2025-05-16 18:17:02.381113,250,8,,,,
SPRU,2025-05-16 18:17:02.381113,170,10,7000.0,SCT003,,
SPZO,2025-05-16 18:17:02.381113,VRB,6,9999.0,,,
SPQU,2025-05-16 19:17:12.015654,240,7,,,,
SPRU,2025-05-16 19:17:12.015654,170,9,4500.0,BKN004,BR,
SPZO,2025-05-16 19:17:12.015654,290,6,9999.0,FEW060,,
SPQU,2025-05-16 19:43:01.303609,240,7,,,,
SPRU,2025-05-16 19:43:01.303609,170,9,4500.0,BKN004,BR,
SPZO,2025-05-16 19:43:01.303609,290,6,9999.0,FEW060,,
SPZO,2025-05-16 19:43:01.303609,VRB,4,9999.0,FEW060,,
SPQU,2025-05-16 19:44:55.313065,240,7,,,,
SPRU,2025-05-16 19:44:55.313065,170,9,4500.0,BKN004,BR,
SPZO,2025-05-16 19:44:55.313065,290,6,9999.0,FEW060,,
SPZO,2025-05-16 19:44:55.313065,VRB,4,9999.0,FEW060,,
SPQU,2025-05-16 19:47:05.392543,240,7,,,,
SPRU,2025-05-16 19:47:05.392543,170,9,4500.0,BKN004,BR,
SPZO,2025-05-16 19:47:05.392543,290,6,9999.0,FEW060,,
SPZO,2025-05-16 19:47:05.392543,VRB,4,9999.0,FEW060,,
SPQU,2025-05-16 20:47:14.532108,250,8,,,,
SPRU,2025-05-16 20:47:14.532108,170,8,6000.0,SCT015,HZ,
SPRU,2025-05-16 20:47:14.532108,180,8,4500.0,BKN010,BR,
SPZO,2025-05-16 20:47:14.532108,VRB,4,9999.0,FEW060,,
SPZO,2025-05-16 20:47:14.532108,280,10,9999.0,FEW060,,
SPQU,2025-05-16 21:08:07.742639,270,9,,,,
SPRU,2025-05-16 21:08:07.742639,170,8,5000.0,BKN010,BR,
SPZO,2025-05-16 21:08:07.742639,300,9,9999.0,,,
SPQU,,120,8,200.0,OVC002,FG,
SPQU,,160,12,300.0,BKN003,RA,
SPQU,,090,10,500.0,SCT002;OVC003,BR,
SPQU,,180,15,400.0,VV002,RA,
SPQU,,200,7,250.0,,FG,
SPQU,,150,10,3000.0,SCT006;BKN009,BR,
SPRU,,110,9,300.0,SCT003;OVC005,BR,
SPRU,,140,12,400.0,BKN004,RA,
SPRU,,090,10,500.0,VV003,RA,
SPRU,,160,8,200.0,,FG,
SPRU,,100,7,250.0,OVC002,BR,
SPRU,,130,9,3000.0,SCT005;BKN010,,
SPZO,,090,10,200.0,VV001,SN,
SPZO,,120,12,300.0,BKN002,RA,
SPZO,,070,8,400.0,SCT002;BKN003,BR,
SPZO,,100,10,500.0,VV002,SN,
SPZO,,080,9,300.0,OVC001,FG,
SPZO,,100,7,3500.0,BKN008;SCT015,,
SPJR,,150,8,200.0,VV002,FG,
SPJR,,130,10,300.0,SCT003;OVC004,RA,
SPJR,,100,9,500.0,BKN003,RA,
SPJR,,170,7,400.0,OVC002,BR,
SPJR,,180,6,200.0,,FG,
SPJR,,150,7,3000.0,SCT010;BKN012,,
SPHZ,,140,6,300.0,OVC002,FG,
SPHZ,,120,8,400.0,VV003,BR,
SPHZ,,100,10,500.0,BKN002,RA,
SPHZ,,160,7,200.0,,FG,
SPHZ,,110,6,300.0,VV001,RA,
SPHZ,SPQU 162100Z 27009KT 220V300 CAVOK 17/05 Q1027 NOSIG RMK PP000=,130,8,3500.0,SCT012;BKN015,,
SPRU,2025-05-16 21:15:51.340709,170,8,5000.0,BKN010,BR,
SPZO,2025-05-16 21:15:51.340709,300,9,9999.0,,,
SPQU,2025-05-16 22:16:00.421335,270,11,,,,
SPRU,2025-05-16 22:16:00.421335,150,8,4000.0,OVC003,BR,
SPZO,2025-05-16 22:16:00.421335,310,9,9999.0,,,
SPQU,2025-05-16 23:16:09.580028,270,7,,,,
SPRU,2025-05-16 23:16:09.580028,150,11,4000.0,OVC003,BR,
SPZO,2025-05-16 23:16:09.580028,300,6,9999.0,,,
SPQU,2025-05-17 00:16:19.627766,290,6,,,,
SPRU,2025-05-17 00:16:19.627766,140,10,3000.0,OVC002,BR,
SPZO,2025-05-17 00:16:19.627766,270,6,9999.0,,,
SPQU,2025-05-17 01:16:28.936003,060,7,,,,
SPRU,2025-05-17 01:16:28.936003,140,10,3000.0,OVC002,BR,
SPZO,2025-05-17 01:16:28.936003,VRB,2,9999.0,,,
SPQU,2025-05-17 02:16:38.176218,040,5,,,,
SPRU,2025-05-17 02:16:38.176218,140,9,3000.0,OVC002,BR,
SPZO,2025-05-17 02:16:38.176218,070,3,9999.0,,,
SPQU,2025-05-17 03:16:47.515747,020,4,,,,
SPRU,2025-05-17 03:16:47.515747,150,9,2500.0,OVC002,BR,
SPZO,2025-05-17 03:16:47.515747,VRB,1,9999.0,,,
SPQU,2025-05-17 04:16:56.940215,050,6,,,,
SPRU,2025-05-17 04:16:56.940215,150,8,3000.0,OVC003,BR,
SPZO,2025-05-17 04:16:56.940215,100,2,9999.0,,,
SPQU,2025-05-17 05:10:04.445209,340,4,,,,
SPRU,2025-05-17 05:10:04.445209,160,8,2500.0,BKN003,BR,
SPZO,2025-05-17 05:10:04.445209,VRB,1,9999.0,,,
SPQU,2025-05-17 05:45:40.559842,340,4,,,,
SPRU,2025-05-17 05:45:40.559842,160,8,2500.0,BKN003,BR,
SPZO,2025-05-17 05:45:40.559842,VRB,1,9999.0,,,
SPZO,2025-05-17 05:45:40.559842,000,0,9999.0,,,
SPQU,2025-05-17 05:48:01.417507,340,4,,,,
SPRU,2025-05-17 05:48:01.417507,160,8,2500.0,BKN003,BR,
SPZO,2025-05-17 05:48:01.417507,VRB,1,9999.0,,,
